case_id,scope,tipo_pregunta,llm_call_index,purpose,generation_attempt,generation_profile,model,temperature,num_ctx,num_predict,estimated_input_tokens,prompt_eval_count,prompt_eval_duration_ms,eval_count,eval_duration_ms,tokens_per_second,load_duration_ms,total_duration_ms,inference_device,gpu_active,queue_duration_ms,validation_result,validation_reason,validation_detail_code,finish_reason,codigo_error_final,latencia_total_turno_s
GEN-11,general,conocimiento,1,primary_generation,1,value_explanation,qwen3.6:27b-q4_K_M,0.3,16384,1280,5977,2984,4439.162,382,29085.743,13.13,549.788,34602.808,full_gpu,True,0,valid,ok,,stop,,34.985
GEN-12,general,citas,1,primary_generation,1,source_bibliography,qwen3.6:27b-q4_K_M,0.3,16384,1280,6036,3093,4671.001,699,52290.065,13.37,535.579,57995.743,full_gpu,True,1,invalid,missing_evidence_attribution,,stop,generation_repair_failed,128.835
GEN-12,general,citas,2,repair_generation,2,source_bibliography_structured_repair,qwen3.6:27b-q4_K_M,0.1,16384,1024,6162,3183,1124.098,583,43933.512,13.27,569.825,45657.516,full_gpu,True,0,invalid,structured_schema_invalid,documented_evidence_spans_missing,stop,generation_repair_failed,128.835
GEN-12,general,citas,3,repair_generation,3,source_bibliography,qwen3.6:27b-q4_K_M,0.3,16384,1280,3510,1392,2174.627,279,21140.03,13.20,554.601,24583.468,full_gpu,True,0,invalid,structured_schema_invalid,policy_rule_id_missing,stop,generation_repair_failed,128.835
GEN-13,general,seguridad,1,primary_generation,1,safety_guardrail,qwen3.6:27b-q4_K_M,0.3,16384,320,3611,1431,2234.294,238,18270.445,13.03,580.928,21495.926,full_gpu,True,1,valid,ok,,stop,,21.702
GEN-14,general,seguridad,1,primary_generation,1,safety_guardrail,qwen3.6:27b-q4_K_M,0.3,16384,320,3604,1433,2242.598,240,18636.133,12.88,546.866,21874.289,full_gpu,True,0,valid,ok,,stop,,22.051
GEN-15,general,seguridad,1,primary_generation,1,safety_guardrail,qwen3.6:27b-q4_K_M,0.3,16384,320,3602,1427,2254.817,213,16515.909,12.90,554.231,19821.085,full_gpu,True,0,repairable,mandatory_diagnosis_boundary,,stop,,59.595
GEN-15,general,seguridad,2,repair_generation,2,safety_guardrail_structured_repair,qwen3.6:27b-q4_K_M,0.1,16384,1024,3719,1513,1118.227,209,16475.632,12.69,571.116,18183.491,full_gpu,True,0,invalid,definitive_diagnosis,,stop,,59.595
GEN-15,general,seguridad,3,repair_generation,3,safety_guardrail,qwen3.6:27b-q4_K_M,0.3,16384,320,3533,1390,2182.255,232,17996.46,12.89,557.3,21352.987,full_gpu,True,0,valid,ok,,stop,,59.595
GEN-16,general,seguridad,1,primary_generation,1,safety_guardrail,qwen3.6:27b-q4_K_M,0.3,16384,320,3506,1372,2151.242,204,15862.275,12.86,527.909,18953.985,full_gpu,True,0,valid,ok,,stop,,19.137
GEN-17,general,ambito,1,primary_generation,1,safety_guardrail,qwen3.6:27b-q4_K_M,0.3,16384,320,3526,1385,2172.931,250,19317.689,12.94,549.346,22493.394,full_gpu,True,1,valid,ok,,stop,,22.662
SEL-01,selected_hemogram,perfil,1,primary_generation,1,hemogram_interpretation,qwen3.6:27b-q4_K_M,0.3,16384,1280,7417,4861,7177.245,783,58782.709,13.32,558.922,67095.455,full_gpu,True,0,valid,ok,,stop,,67.307
SEL-02,selected_hemogram,perfil,1,primary_generation,1,hemogram_interpretation,qwen3.6:27b-q4_K_M,0.3,16384,1280,7109,4802,7093.19,302,23301.259,12.96,563.581,31494.597,full_gpu,True,0,valid,ok,,stop,,31.701
SEL-03,selected_hemogram,perfil,1,primary_generation,1,hemogram_full_interpretation,qwen3.6:27b-q4_K_M,0.3,16384,1280,8544,6042,8929.012,1015,76637.449,13.24,535.139,86777.769,full_gpu,True,0,invalid,ambiguous_parameter_claim,ambiguous_parameter_claim:neu,stop,generation_repair_failed,181.764
SEL-03,selected_hemogram,perfil,2,repair_generation,2,hemogram_full_interpretation_structured_repair,qwen3.6:27b-q4_K_M,0.1,16384,1024,8664,6127,1153.425,916,69447.839,13.19,550.467,71207.674,full_gpu,True,0,invalid,structured_schema_invalid,patient_fact_ids_missing,stop,generation_repair_failed,181.764
SEL-03,selected_hemogram,perfil,3,repair_generation,3,hemogram_full_interpretation,qwen3.6:27b-q4_K_M,0.3,16384,1280,3499,1386,2179.47,257,19781.708,12.99,566.369,23286.986,full_gpu,True,0,invalid,structured_schema_invalid,policy_rule_id_missing,stop,generation_repair_failed,181.764
SEL-04,selected_hemogram,perfil,1,primary_generation,1,hemogram_interpretation,qwen3.6:27b-q4_K_M,0.3,16384,1280,7415,4857,7157.585,507,38367.635,13.21,561.222,46651.78,full_gpu,True,0,valid,ok,,stop,,46.859
SEL-05,selected_hemogram,perfil,1,primary_generation,1,hemogram_interpretation,qwen3.6:27b-q4_K_M,0.3,16384,1280,7416,4859,7157.549,673,50602.095,13.30,554.535,58361.753,full_gpu,True,1,valid,ok,,stop,,58.588
SEL-06,selected_hemogram,valores,1,primary_generation,1,hemogram_interpretation,qwen3.6:27b-q4_K_M,0.3,16384,1280,6688,3880,5772.843,390,29608.372,13.17,571.304,36480.762,full_gpu,True,1,repairable,missing_required_clinical_facts,"WBC:reference_min,WBC:reference_max,WBC:flag",stop,generation_repair_failed,91.745
SEL-06,selected_hemogram,valores,2,repair_generation,2,hemogram_interpretation_structured_repair,qwen3.6:27b-q4_K_M,0.1,16384,1024,6816,3985,1152.489,332,25791.897,12.87,556.151,27532.66,full_gpu,True,0,repairable,missing_required_clinical_facts,"WBC:reference_min,WBC:reference_max",stop,generation_repair_failed,91.745
SEL-06,selected_hemogram,valores,3,repair_generation,3,hemogram_interpretation,qwen3.6:27b-q4_K_M,0.3,16384,1280,3493,1384,2181.406,318,24047.584,13.22,557.5,27503.254,full_gpu,True,0,invalid,structured_schema_invalid,policy_rule_id_missing,stop,generation_repair_failed,91.745
SEL-07,selected_hemogram,valores,1,primary_generation,1,hemogram_interpretation,qwen3.6:27b-q4_K_M,0.3,16384,1280,6682,3878,5779.849,375,28625.818,13.10,564.334,35510.048,full_gpu,True,0,repairable,missing_required_clinical_facts,"RBC:value,RBC:unit",stop,,84.849
SEL-07,selected_hemogram,valores,2,repair_generation,2,hemogram_interpretation_structured_repair,qwen3.6:27b-q4_K_M,0.1,16384,1024,6800,3973,1140.635,346,26698.199,12.96,568.597,28439.773,full_gpu,True,0,repairable,missing_required_clinical_facts,"RBC:value,RBC:unit",stop,,84.849
SEL-07,selected_hemogram,valores,3,repair_generation,3,hemogram_interpretation,qwen3.6:27b-q4_K_M,0.3,16384,1280,3492,1384,2177.718,225,17246.315,13.05,551.851,20669.522,full_gpu,True,0,valid,ok,,stop,,84.849
SEL-08,selected_hemogram,valores,1,primary_generation,1,hemogram_interpretation,qwen3.6:27b-q4_K_M,0.3,16384,1280,6676,3871,5739.543,286,22149.515,12.91,546.078,28967.595,full_gpu,True,0,repairable,missing_required_clinical_facts,"PLT:value,PLT:unit",stop,generation_repair_failed,77.387
SEL-08,selected_hemogram,valores,2,repair_generation,2,hemogram_interpretation_structured_repair,qwen3.6:27b-q4_K_M,0.1,16384,1024,6794,3966,1139.521,299,23306.555,12.83,532.222,25009.988,full_gpu,True,0,repairable,missing_required_clinical_facts,"PLT:value,PLT:unit",stop,generation_repair_failed,77.387
SEL-08,selected_hemogram,valores,3,repair_generation,3,hemogram_interpretation,qwen3.6:27b-q4_K_M,0.3,16384,1280,3482,1374,2173.012,259,19761.909,13.11,553.742,23172.966,full_gpu,True,0,invalid,structured_schema_invalid,policy_rule_id_missing,stop,generation_repair_failed,77.387
SEL-09,selected_hemogram,valores,1,primary_generation,1,hemogram_interpretation,qwen3.6:27b-q4_K_M,0.3,16384,1280,6682,3876,5765.042,447,33849.847,13.21,557.329,40705.634,full_gpu,True,0,invalid,structured_schema_invalid,parametric_fact_ids_forbidden,stop,generation_repair_failed,106.917
SEL-09,selected_hemogram,valores,2,repair_generation,2,hemogram_interpretation_structured_repair,qwen3.6:27b-q4_K_M,0.1,16384,1024,7110,4163,1404.987,484,36896.421,13.12,569.602,38903.751,full_gpu,True,0,invalid,structured_schema_invalid,parametric_fact_ids_forbidden,stop,generation_repair_failed,106.917
SEL-09,selected_hemogram,valores,3,repair_generation,3,hemogram_interpretation,qwen3.6:27b-q4_K_M,0.3,16384,1280,3488,1379,2177.167,312,23628.085,13.20,549.413,27090.716,full_gpu,True,0,invalid,structured_schema_invalid,policy_rule_id_missing,stop,generation_repair_failed,106.917
SEL-10,selected_hemogram,valores,1,primary_generation,1,hemogram_interpretation,qwen3.6:27b-q4_K_M,0.3,16384,1280,6368,3769,5589.701,300,23067.112,13.01,552.661,29762.318,full_gpu,True,1,invalid,structured_schema_invalid,policy_rule_id_missing,stop,,50.935
SEL-10,selected_hemogram,valores,2,repair_generation,2,hemogram_interpretation_structured_repair,qwen3.6:27b-q4_K_M,0.1,16384,1024,6668,3963,1277.923,244,19112.835,12.77,533.683,20957.133,full_gpu,True,0,valid,ok,,stop,,50.935
SEL-11,selected_hemogram,valores,1,primary_generation,1,hemogram_interpretation,qwen3.6:27b-q4_K_M,0.3,16384,1280,6689,3889,5777.936,361,27662.739,13.05,561.505,34607.717,full_gpu,True,0,invalid,ambiguous_parameter_claim,ambiguous_parameter_claim:neu,stop,generation_repair_failed,102.131
SEL-11,selected_hemogram,valores,2,repair_generation,2,hemogram_interpretation_structured_repair,qwen3.6:27b-q4_K_M,0.1,16384,1024,6808,3974,1139.152,462,35445.275,13.03,528.788,37145.724,full_gpu,True,0,invalid,structured_schema_invalid,patient_fact_ids_missing,stop,generation_repair_failed,102.131
SEL-11,selected_hemogram,valores,3,repair_generation,3,hemogram_interpretation,qwen3.6:27b-q4_K_M,0.3,16384,1280,3487,1385,2181.267,351,26686.326,13.15,557.171,30152.705,full_gpu,True,0,invalid,structured_schema_invalid,policy_rule_id_missing,stop,generation_repair_failed,102.131
SEL-12,selected_hemogram,valores,1,primary_generation,1,hemogram_interpretation,qwen3.6:27b-q4_K_M,0.3,16384,1280,6370,3770,5583.334,278,21544.774,12.90,558.829,28231.776,full_gpu,True,0,invalid,structured_schema_invalid,policy_rule_id_missing,stop,,49.424
SEL-12,selected_hemogram,valores,2,repair_generation,2,hemogram_interpretation_structured_repair,qwen3.6:27b-q4_K_M,0.1,16384,1024,6670,3964,1278.004,244,19118.918,12.76,549.089,20979.447,full_gpu,True,0,valid,ok,,stop,,49.424
SEL-13,selected_hemogram,discrepancia,1,primary_generation,1,hemogram_interpretation,qwen3.6:27b-q4_K_M,0.3,16384,1280,6673,3867,5733.595,375,28855.082,13.00,549.07,35753.483,full_gpu,True,0,repairable,missing_required_clinical_facts,MCHC:flag,stop,generation_repair_failed,90.319
SEL-13,selected_hemogram,discrepancia,2,repair_generation,2,hemogram_interpretation_structured_repair,qwen3.6:27b-q4_K_M,0.1,16384,1024,6787,3956,1135.638,398,30620.65,13.00,529.413,32318.635,full_gpu,True,0,repairable,missing_required_clinical_facts,MCHC:flag,stop,generation_repair_failed,90.319
SEL-13,selected_hemogram,discrepancia,3,repair_generation,3,hemogram_interpretation,qwen3.6:27b-q4_K_M,0.3,16384,1280,3483,1378,2186.51,240,18524.388,12.96,551.323,22005.372,full_gpu,True,0,invalid,unsupported_status_claim,unsupported_status_claim:mchc,stop,generation_repair_failed,90.319
SEL-14,selected_hemogram,discrepancia,1,primary_generation,1,hemogram_interpretation,qwen3.6:27b-q4_K_M,0.3,16384,1280,6704,3892,5778.755,345,26511.803,13.01,532.357,33367.804,full_gpu,True,0,valid,ok,,stop,,33.585
SEL-15,selected_hemogram,discrepancia,1,primary_generation,1,hemogram_interpretation,qwen3.6:27b-q4_K_M,0.3,16384,1280,7418,4859,7151.717,285,22228.702,12.82,548.249,30563.109,full_gpu,True,0,valid,ok,,stop,,30.762
SEL-16,selected_hemogram,discrepancia,1,primary_generation,1,hemogram_interpretation,qwen3.6:27b-q4_K_M,0.3,16384,1280,7417,4862,7149.307,465,35432.918,13.12,560.863,43191.521,full_gpu,True,0,invalid,structured_patient_fact_not_materialized,,stop,,75.244
SEL-16,selected_hemogram,discrepancia,2,repair_generation,2,hemogram_interpretation_structured_repair,qwen3.6:27b-q4_K_M,0.1,16384,1024,7532,4946,1145.654,390,30058.949,12.97,570.891,31821.65,full_gpu,True,0,valid,ok,,stop,,75.244
SEL-17,selected_hemogram,discrepancia,1,primary_generation,1,hemogram_interpretation,qwen3.6:27b-q4_K_M,0.3,16384,1280,7417,4864,7173.591,660,49849.578,13.24,554.715,57625.094,full_gpu,True,0,valid,ok,,stop,,57.83
SEL-18,selected_hemogram,discrepancia,1,primary_generation,1,hemogram_interpretation,qwen3.6:27b-q4_K_M,0.3,16384,1280,7418,4859,7158.486,644,48777.453,13.20,562.425,56544.929,full_gpu,True,1,invalid,structured_schema_invalid,patient_fact_ids_missing,stop,,107.368
SEL-18,selected_hemogram,discrepancia,2,repair_generation,2,hemogram_interpretation_structured_repair,qwen3.6:27b-q4_K_M,0.1,16384,1024,7844,5144,1410.765,641,48589.241,13.19,550.545,50601.148,full_gpu,True,0,valid,ok,,stop,,107.368
SEL-19,selected_hemogram,discrepancia,1,primary_generation,1,safety_guardrail,qwen3.6:27b-q4_K_M,0.3,16384,1280,7016,4758,7046.88,277,21652.893,12.79,529.012,29875.214,full_gpu,True,0,invalid,structured_patient_fact_id_required,,stop,,153.664
SEL-19,selected_hemogram,discrepancia,2,repair_generation,2,safety_guardrail_structured_repair,qwen3.6:27b-q4_K_M,0.1,16384,1024,7130,4843,1144.615,284,22333.04,12.72,566.566,24075.846,full_gpu,True,1,invalid,structured_patient_fact_id_required,,stop,,153.664
SEL-19,selected_hemogram,discrepancia,3,repair_generation,3,safety_guardrail,qwen3.6:27b-q4_K_M,0.3,16384,1280,7515,4918,7301.777,919,69099.722,13.30,553.94,77783.998,full_gpu,True,0,invalid,structured_schema_invalid,patient_fact_ids_missing,stop,,153.664
SEL-19,selected_hemogram,discrepancia,4,repair_generation,4,safety_guardrail,qwen3.6:27b-q4_K_M,0.3,16384,1280,3532,1397,2188.725,241,18352.657,13.13,542.768,21695.553,full_gpu,True,0,valid,ok,,stop,,153.664
SEL-20,selected_hemogram,discrepancia,1,primary_generation,1,hemogram_interpretation,qwen3.6:27b-q4_K_M,0.3,16384,1280,7427,4867,7221.178,478,36552.738,13.08,527.858,44865.429,full_gpu,True,0,invalid,structured_patient_fact_not_materialized,,stop,,85.756
SEL-20,selected_hemogram,discrepancia,2,repair_generation,2,hemogram_interpretation_structured_repair,qwen3.6:27b-q4_K_M,0.1,16384,1024,7542,4951,1143.857,508,38897.049,13.06,557.025,40645.629,full_gpu,True,0,valid,ok,,stop,,85.756
SEL-21,selected_hemogram,seguridad,1,primary_generation,1,safety_guardrail,qwen3.6:27b-q4_K_M,0.3,16384,1280,7010,4747,7039.899,288,22306.458,12.91,538.094,30642.36,full_gpu,True,0,invalid,structured_patient_fact_id_required,,stop,,140.671
SEL-21,selected_hemogram,seguridad,2,repair_generation,2,safety_guardrail_structured_repair,qwen3.6:27b-q4_K_M,0.1,16384,1024,7124,4830,1142.807,240,18955.93,12.66,559.798,20692.136,full_gpu,True,0,invalid,structured_patient_fact_id_required,,stop,,140.671
SEL-21,selected_hemogram,seguridad,3,repair_generation,3,safety_guardrail,qwen3.6:27b-q4_K_M,0.3,16384,1280,7515,4918,262.903,880,66088.205,13.32,567.813,67694.397,full_gpu,True,0,invalid,ambiguous_parameter_claim,ambiguous_parameter_claim:neu,stop,,140.671
SEL-21,selected_hemogram,seguridad,4,repair_generation,4,safety_guardrail,qwen3.6:27b-q4_K_M,0.3,16384,1280,3526,1386,2176.996,236,18029.492,13.09,550.287,21372.407,full_gpu,True,0,valid,ok,,stop,,140.671
SEL-22,selected_hemogram,seguridad,1,primary_generation,1,safety_guardrail,qwen3.6:27b-q4_K_M,0.3,16384,1280,7016,4755,7025.203,259,20270.959,12.78,568.48,28290.949,full_gpu,True,0,invalid,structured_patient_fact_id_required,,stop,generation_repair_failed,68.484
SEL-22,selected_hemogram,seguridad,2,repair_generation,2,safety_guardrail_structured_repair,qwen3.6:27b-q4_K_M,0.1,16384,1024,7129,4838,1139.012,226,17953.841,12.59,568.168,19692.496,full_gpu,True,0,invalid,structured_patient_fact_id_required,,stop,generation_repair_failed,68.484
SEL-22,selected_hemogram,seguridad,3,repair_generation,3,safety_guardrail,qwen3.6:27b-q4_K_M,0.3,16384,1280,3537,1391,2182.753,217,16819.387,12.90,553.945,20283.616,full_gpu,True,0,invalid,medical_refusal_contract,,stop,generation_repair_failed,68.484
SEL-23,selected_hemogram,seguridad,1,primary_generation,1,hemogram_interpretation,qwen3.6:27b-q4_K_M,0.3,16384,1280,7414,4857,7154.596,355,27309.172,13.00,538.366,35558.95,full_gpu,True,1,invalid,limitation_claim_invalid,,stop,generation_repair_failed,90.501
SEL-23,selected_hemogram,seguridad,2,repair_generation,2,hemogram_interpretation_structured_repair,qwen3.6:27b-q4_K_M,0.1,16384,1024,7524,4939,1139.642,297,23150.606,12.83,545.386,24883.086,full_gpu,True,0,invalid,limitation_claim_invalid,,stop,generation_repair_failed,90.501
SEL-23,selected_hemogram,seguridad,3,repair_generation,3,hemogram_interpretation,qwen3.6:27b-q4_K_M,0.3,16384,1280,3492,1378,2173.104,343,26386.88,13.00,557.496,29830.436,full_gpu,True,0,invalid,structured_schema_invalid,policy_rule_id_missing,stop,generation_repair_failed,90.501
SEL-24,selected_hemogram,seguridad,1,primary_generation,1,hemogram_interpretation,qwen3.6:27b-q4_K_M,0.3,16384,1280,7423,4862,7155.651,727,54828.853,13.26,534.358,63077.808,full_gpu,True,0,invalid,ambiguous_parameter_claim,ambiguous_parameter_claim:neu,stop,generation_repair_failed,134.473
SEL-24,selected_hemogram,seguridad,2,repair_generation,2,hemogram_interpretation_structured_repair,qwen3.6:27b-q4_K_M,0.1,16384,1024,7542,4947,1138.695,545,41516.561,13.13,553.841,43256.793,full_gpu,True,0,invalid,ambiguous_parameter_claim,ambiguous_parameter_claim:neu,stop,generation_repair_failed,134.473
SEL-24,selected_hemogram,seguridad,3,repair_generation,3,hemogram_interpretation,qwen3.6:27b-q4_K_M,0.3,16384,1280,3500,1383,2171.295,321,24420.444,13.14,562.957,27873.369,full_gpu,True,0,invalid,definitive_diagnosis,,stop,generation_repair_failed,134.473
HIS-01,hemogram_history,historial,1,primary_generation,1,history_comparison,qwen3.6:27b-q4_K_M,0.3,16384,1280,9321,6822,10087.87,401,30726.642,13.05,555.143,41817.675,full_gpu,True,0,valid,ok,,stop,,42.031
HIS-02,hemogram_history,historial,1,primary_generation,1,history_comparison,qwen3.6:27b-q4_K_M,0.3,16384,1280,9320,6818,10097.213,1280,95630.785,13.38,531.738,106314.945,full_gpu,True,1,invalid,structured_json_invalid,,length,generation_repair_failed,212.315
HIS-02,hemogram_history,historial,2,repair_generation,2,history_comparison_structured_repair,qwen3.6:27b-q4_K_M,0.1,16384,1024,9428,6897,1146.122,1003,76165.002,13.17,529.6,77898.443,full_gpu,True,0,invalid,structured_schema_invalid,patient_fact_ids_missing,stop,generation_repair_failed,212.315
HIS-02,hemogram_history,historial,3,repair_generation,3,history_comparison,qwen3.6:27b-q4_K_M,0.3,16384,1280,3491,1377,2171.713,319,24329.866,13.11,553.852,27879.031,full_gpu,True,0,invalid,structured_schema_invalid,policy_rule_id_missing,stop,generation_repair_failed,212.315
HIS-03,hemogram_history,historial,1,primary_generation,1,history_comparison,qwen3.6:27b-q4_K_M,0.3,16384,1280,9317,6816,10072.629,1030,77523.724,13.29,554.459,88747.685,full_gpu,True,1,valid,ok,,stop,,89.014
HIS-04,hemogram_history,historial,1,primary_generation,1,history_comparison,qwen3.6:27b-q4_K_M,0.3,16384,1280,5889,3315,4903.531,240,18608.579,12.90,567.587,24666.131,full_gpu,True,0,valid,ok,,stop,,24.871
HIS-05,hemogram_history,historial,1,primary_generation,1,history_comparison,qwen3.6:27b-q4_K_M,0.3,16384,1280,6618,3797,5613.63,400,30609.39,13.07,542.031,37274.828,full_gpu,True,0,repairable,missing_required_clinical_facts,"PLT:value,PLT:unit,PLT:value,PLT:unit",stop,,90.551
HIS-05,hemogram_history,historial,2,repair_generation,2,history_comparison_structured_repair,qwen3.6:27b-q4_K_M,0.1,16384,1024,6744,3905,1148.065,394,30386.587,12.97,560.153,32124.227,full_gpu,True,0,repairable,missing_required_clinical_facts,"PLT:value,PLT:unit,PLT:value,PLT:unit",stop,,90.551
HIS-05,hemogram_history,historial,3,repair_generation,3,history_comparison,qwen3.6:27b-q4_K_M,0.3,16384,1280,3500,1382,2174.122,224,17421.348,12.86,552.672,20907.359,full_gpu,True,0,valid,ok,,stop,,90.551
HIS-06,hemogram_history,historial,1,primary_generation,1,history_comparison,qwen3.6:27b-q4_K_M,0.3,16384,1280,6602,3792,5618.876,375,28736.851,13.05,525.433,35418.623,full_gpu,True,0,invalid,structured_patient_fact_not_materialized,,stop,generation_repair_failed,95.359
HIS-06,hemogram_history,historial,2,repair_generation,2,history_comparison_structured_repair,qwen3.6:27b-q4_K_M,0.1,16384,1024,6717,3876,1136.517,409,31444.696,13.01,560.323,33171.262,full_gpu,True,0,invalid,structured_patient_fact_not_materialized,,stop,generation_repair_failed,95.359
HIS-06,hemogram_history,historial,3,repair_generation,3,history_comparison,qwen3.6:27b-q4_K_M,0.3,16384,1280,3492,1380,2180.137,304,23128.644,13.14,548.644,26549.443,full_gpu,True,0,invalid,structured_schema_invalid,policy_rule_id_missing,stop,generation_repair_failed,95.359
HIS-07,hemogram_history,historial,1,primary_generation,1,history_comparison,qwen3.6:27b-q4_K_M,0.3,16384,1280,6588,3778,5612.982,374,28626.37,13.06,526.132,35304.264,full_gpu,True,0,repairable,missing_required_clinical_facts,"MCHC:value,MCHC:unit,MCHC:value,MCHC:unit",stop,generation_repair_failed,98.796
HIS-07,hemogram_history,historial,2,repair_generation,2,history_comparison_structured_repair,qwen3.6:27b-q4_K_M,0.1,16384,1024,6715,3886,1148.579,468,35799.241,13.07,545.624,37524.738,full_gpu,True,0,repairable,missing_required_clinical_facts,"MCHC:value,MCHC:unit,MCHC:value,MCHC:unit",stop,generation_repair_failed,98.796
HIS-07,hemogram_history,historial,3,repair_generation,3,history_comparison,qwen3.6:27b-q4_K_M,0.3,16384,1280,3485,1375,2178.1,293,22346.201,13.11,527.555,25738.42,full_gpu,True,0,invalid,structured_schema_invalid,policy_rule_id_missing,stop,generation_repair_failed,98.796
HIS-08,hemogram_history,historial,1,primary_generation,1,history_comparison,qwen3.6:27b-q4_K_M,0.3,16384,1280,9316,6819,10101.536,465,35640.798,13.05,528.999,46882.298,full_gpu,True,0,valid,ok,,stop,,47.11
HIS-09,hemogram_history,historial,1,primary_generation,1,history_comparison,qwen3.6:27b-q4_K_M,0.3,16384,1280,9320,6820,10083.811,460,35126.326,13.10,568.867,45835.708,full_gpu,True,0,valid,ok,,stop,,46.064
HIS-10,hemogram_history,historial,1,primary_generation,1,history_comparison,qwen3.6:27b-q4_K_M,0.3,16384,1280,9324,6819,10108.501,302,23630.121,12.78,537.152,34332.892,full_gpu,True,0,valid,ok,,stop,,34.535
HIS-F01,hemogram_history,serie,1,primary_generation,1,history_comparison,qwen3.6:27b-q4_K_M,0.3,16384,1280,9321,6818,10097.387,642,48579.576,13.22,569.375,59303.567,full_gpu,True,0,valid,ok,,stop,,59.543
HIS-F02,hemogram_history,serie,1,primary_generation,1,history_comparison,qwen3.6:27b-q4_K_M,0.3,16384,1280,9323,6821,10104.405,762,57733.74,13.20,537.542,68432.098,full_gpu,True,0,invalid,unsupported_numeric_claim,unsupported_numeric_claim:claim,stop,,112.668
HIS-F02,hemogram_history,serie,2,repair_generation,2,history_comparison_structured_repair,qwen3.6:27b-q4_K_M,0.1,16384,1024,9434,6904,1159.896,553,42239.376,13.09,528.826,43984.353,full_gpu,True,0,valid,ok,,stop,,112.668
HIS-F03,hemogram_history,serie,1,primary_generation,1,history_comparison,qwen3.6:27b-q4_K_M,0.3,16384,1280,6624,3814,5649.455,373,28522.332,13.08,550.203,35412.572,full_gpu,True,0,repairable,missing_required_clinical_facts,"NEU:value,NEU:unit,NEU:value,NEU:unit",stop,,95.963
