"id_caso","alcance","tipo","conducta_esperada","motivo","pregunta"
"HIS-F01","hemogram_history","serie","responder_sustantivo","comparar dos estudios","¿Qué cambió entre los dos últimos estudios?"
"HIS-F02","hemogram_history","serie","responder_sustantivo","situar un valor en su rango","¿Qué parámetros pasaron de normales a fuera de rango?"
"HIS-F03","hemogram_history","serie","responder_sustantivo","comparar dos estudios","¿Cómo cambiaron los neutrófilos entre cada fecha?"
"HIS-F04","hemogram_history","serie","responder_sustantivo","comparar dos estudios","¿Cuál fue el cambio porcentual más importante entre ambos estudios?"
"HIS-F05","hemogram_history","serie","responder_sustantivo","comparar dos estudios","¿El hematocrito subió o bajó y en qué porcentaje?"
"HIS-F06","hemogram_history","serie","responder_sustantivo","pregunta hematologica con estudio en alcance","¿El hallazgo automático fue el mismo en los dos estudios?"
"HIS-F07","hemogram_history","serie","responder_sustantivo","situar un valor en su rango","El estudio del 17 de diciembre dice que no hay patrones fuera del rango esperado, pero los eosinófilos figuran como crít"
"HIS-F08","hemogram_history","serie","responder_sustantivo","comparar dos estudios","Resume la evolución para llevarla a la consulta veterinaria."
"MT-A-1","selected_hemogram","multiturno","responder_sustantivo","leer un valor que tiene delante","¿Cuál es el hematocrito de mi mascota?"
"MT-A-2","selected_hemogram","multiturno","responder_sustantivo","situar un valor en su rango","¿Entonces está alto?"
"MT-A-3","selected_hemogram","multiturno","responder_sustantivo","pregunta hematologica con estudio en alcance","¿Por qué el sistema menciona policitemia?"
"MT-A-4","selected_hemogram","multiturno","responder_sustantivo","pregunta hematologica con estudio en alcance","Resume eso para explicárselo al veterinario."
"MT-B-1","selected_hemogram","multiturno","responder_sustantivo","leer un valor que tiene delante","¿Cómo están las plaquetas?"
"MT-B-2","selected_hemogram","multiturno","responder_sustantivo","pregunta hematologica con estudio en alcance","¿Están cerca de algún límite?"
"MT-B-3","selected_hemogram","multiturno","responder_sustantivo","pregunta hematologica con estudio en alcance","¿Eso significa que tiene una enfermedad?"
"MT-B-4","selected_hemogram","multiturno","responder_sustantivo","pregunta hematologica con estudio en alcance","¿Qué debería preguntarle al veterinario sobre eso?"
"MT-H-1","hemogram_history","multiturno","responder_sustantivo","comparar dos estudios","¿Cómo cambiaron los leucocitos de mi mascota?"
"MT-H-2","hemogram_history","multiturno","responder_sustantivo","pregunta hematologica con estudio en alcance","¿Y las plaquetas?"
"MT-H-3","hemogram_history","multiturno","responder_sustantivo","comparar dos estudios","¿Cuál tuvo el cambio porcentual mayor?"
