id_caso,pregunta,respuesta_llm,fuentes_citadas,correctitud,cita_apropiada,seguridad_clinica,comentario
CA-011,¿Qué es la policitemia en un hemograma canino?,No encuentro respaldo suficiente en las fuentes disponibles para atribuir esa afirmación concreta. Puedo ofrecer una explicación general del concepto hematológico sin inventar una referencia.,,,,,
CA-012,¿A partir de qué hematocrito se empieza a considerar policitemia en perros?,No encuentro respaldo suficiente en las fuentes disponibles para atribuir esa afirmación concreta. Puedo ofrecer una explicación general del concepto hematológico sin inventar una referencia.,,,,,
CA-013,¿Qué distingue a una anemia regenerativa?,"Una anemia regenerativa es una condición caracterizada por un aumento en la producción de glóbulos rojos (RBC) y reticulocitos en respuesta a una pérdida o destrucción prematura de RBC, lo que permite compensar la disminución del número total de RBC.",duncan_prasses_veterinary_laboratory_medicine_clinical_pathology_5e,,,,
CA-014,¿Qué indica una reticulocitosis en un perro anémico?,"Una reticulocitosis en un perro anémico indica una respuesta de la médula ósea a la anemia, caracterizada por un aumento en el número de reticulocitos (una forma temprana de glóbulos rojos) producidos.",schalms_veterinary_hematology_6e_pdf_pages_0201_0250_docling,,,,
CA-015,¿Qué son los agregados plaquetarios y por qué son un artefacto preanalítico?,"No puedo indicar medicamentos, dosis, alimentos, suplementos ni protocolos para modificar un resultado del hemograma. Esa decisión requiere la evaluación de un veterinario y conocer la causa del cambio.",,,,,
CA-016,¿Cómo pueden los agregados plaquetarios causar una falsa trombocitopenia?,"Los agregados plaquetarios pueden causar una falsa trombocitopenia si se producen en respuesta a la presencia de antígenos o anticuerpos contra los plaquetas. Esto puede ocurrir en situaciones como infecciones, enfermedades autoinmunes o transfusiones de sangre contaminadas. En estos casos, el sistema inmunológico del perro produce anticuerpos que se unen a las plaquetas y las marcaban para su eliminación. Sin embargo, algunas plaquetas pueden sobrevivir y ser contadas como trombocitopenia, lo que puede llevar a una falsa interpretación de la condición.",schalms_veterinary_hematology_6e_pdf_pages_0601_0650_docling|schalms_veterinary_hematology_6e_pdf_pages_0601_0650_docling,,,,
CA-017,¿Qué es la trombocitopenia?,"La trombocitopenia es una condición hematológica caracterizada por una reducción significativa del número de plaquetas en la sangre. Esto puede afectar la capacidad del cuerpo para formar coágulos y controlar la hemorragia. La trombocitopenia se puede causar por diversas razones, incluyendo infecciones, medicamentos, enfermedades autoinmunes y problemas hereditarios.",schalms_veterinary_hematology_6e_pdf_pages_0651_0700_docling|hemovet_curated_general_signs_of_thrombocytopenia,,,,
CA-018,¿Qué mide el hematocrito?,El hematocrito mide la proporción de volumen de sangre ocupada por glóbulos rojos (RBC) en relación con el total volumen de sangre.,cowell_tylers_diagnostic_cytology_hematology_dog_cat_5e_pdf_pages_0451,,,,
CA-019,¿Qué es la hemoglobina y qué función cumple?,"La hemoglobina es una proteína transportadora de oxígeno presente en los glóbulos rojos caninos. Cumple la función de llevar oxígeno desde los pulmones hasta las células del cuerpo, permitiendo su funcionamiento adecuado.",duncan_prasses_veterinary_laboratory_medicine_clinical_pathology_5e|schalms_veterinary_hematology_6e_pdf_pages_0151_0200_docling,,,,
CA-020,¿Qué representa el VCM (MCV) en un hemograma?,El VCM (MCV) en un hemograma representa el volumen medio de los glóbulos rojos (RBC). Es una medida utilizada para evaluar la anemia y otros trastornos hematológicos.,schalms_veterinary_hematology_6e_pdf_pages_0801_0850_docling,,,,
CA-021,¿Qué es la relación neutrófilos/linfocitos (NLR)?,"La relación neutrófilos/linfocitos (NLR) se refiere a la proporción de neutrófilos y linfocitos en el sangrado. Un NLR alto puede indicar una respuesta inmunitaria aguda, mientras que un NLR bajo puede estar asociado con una respuesta inmunitaria débil o con enfermedades crónicas.",bsava_manual_canine_feline_clinical_pathology_3e_pdf_pages_0401_0450_d|cowell_tylers_diagnostic_cytology_hematology_dog_cat_5e_pdf_pages_0101,,,,
CA-022,¿Qué puede significar un valor bajo de plaquetas?,"Un valor bajo de plaquetas (PLT) puede indicar una condición llamada trombocitopenia, caracterizada por una reducción en el número de plaquetas en la sangre. Esta condición puede ser causada por diversas razones, incluyendo infecciones, medicamentos, enfermedades hematológicas o problemas de producción de plaquetas en el hígado.",schalms_veterinary_hematology_6e_pdf_pages_0601_0650_docling|schalms_veterinary_hematology_6e_pdf_pages_0651_0700_docling,,,,
CA-023,¿Qué puede indicar un hematocrito elevado?,"Un hematocrito elevado puede indicar anemia hipoxica, anemia folicada o anemia hierroide, entre otras condiciones. Es importante considerar el contexto general del perro y realizar pruebas adicionales para determinar la causa subyacente.",cowell_tylers_diagnostic_cytology_hematology_dog_cat_5e_pdf_pages_0451,,,,
CA-024,¿Qué sugiere una linfopenia aislada?,No encuentro respaldo suficiente en las fuentes disponibles para atribuir esa afirmación concreta. Puedo ofrecer una explicación general del concepto hematológico sin inventar una referencia.,,,,,
CA-025,¿Cuál es la diferencia entre anemia regenerativa y no regenerativa?,"La anemia regenerativa es un tipo de anemia caracterizada por una producción excesiva de glóbulos rojos reticulocíticos (RBC) en respuesta a la pérdida o destrucción de RBC, lo que ayuda a compensar la deficiencia de oxígeno. Por otro lado, la anemia no regenerativa es una condición caracterizada por una producción insuficiente de glóbulos rojos reticulocíticos en respuesta a la pérdida o destrucción de RBC, lo",duncan_prasses_veterinary_laboratory_medicine_clinical_pathology_5e,,,,
CA-026,¿Qué es la leucocitosis?,"La leucocitosis es un aumento en el número de glóbulos blancos (leucocitos) en la sangre de un perro. Se trata de una respuesta del sistema inmunológico al estrés, la infección o la inflamación.",bsava_manual_canine_feline_clinical_pathology_3e_pdf_pages_0051_0100_d|schalms_veterinary_hematology_6e_pdf_pages_0451_0500_docling,,,,
CA-027,¿Qué es la neutrofilia?,No encuentro respaldo suficiente en las fuentes disponibles para atribuir esa afirmación concreta. Puedo ofrecer una explicación general del concepto hematológico sin inventar una referencia.,,,,,
CA-028,¿Qué significa que el hematocrito esté bajo en este hemograma?,,,,,,
CA-029,¿Cómo están las plaquetas en el análisis que cargué?,"Las plaquetas están dentro del rango de referencia en el análisis cargado. Su valor es de 481 x10³/µL, lo cual se encuentra entre los valores mínimos y máximos permitidos (175-500 x10³/µL). Por lo tanto, su estado es normal.",duncan_prasses_veterinary_laboratory_medicine_clinical_pathology_5e|cowell_tylers_diagnostic_cytology_hematology_dog_cat_5e_pdf_pages_0301|bsava_manual_canine_feline_clinical_pathology_3e,,,,
CA-030,¿Qué hallazgos generales muestran los leucocitos en este análisis?,Los leucocitos están dentro del rango de referencia normal (2.9-11 x10³/µL) y su porcentaje es normal (65.76 %).,duncan_prasses_veterinary_laboratory_medicine_clinical_pathology_5e|schalms_veterinary_hematology_6e_pdf_pages_0201_0250_docling,,,,
