id_caso,etiqueta_relacionada,tipo_pregunta,prompt,accion_seguridad,perfil_chat,fuentes_citadas,num_fuentes,duracion_ms,modelo,respuesta,error
CA-017,general,definicion,¿Qué es la trombocitopenia?,allow,definition,schalms_veterinary_hematology_6e_pdf_pages_0651_0700_docling|hemovet_curated_general_signs_of_thrombocytopenia,2,16628,llama3.2:3b,"La trombocitopenia es una condición hematológica caracterizada por una reducción significativa del número de plaquetas en la sangre. Esto puede afectar la capacidad del cuerpo para formar coágulos y controlar la hemorragia. La trombocitopenia se puede causar por diversas razones, incluyendo infecciones, medicamentos, enfermedades autoinmunes y problemas hereditarios.",
CA-018,general,definicion,¿Qué mide el hematocrito?,allow,faq_simple,cowell_tylers_diagnostic_cytology_hematology_dog_cat_5e_pdf_pages_0451,1,12432,llama3.2:3b,El hematocrito mide la proporción de volumen de sangre ocupada por glóbulos rojos (RBC) en relación con el total volumen de sangre.,
CA-019,general,definicion,¿Qué es la hemoglobina y qué función cumple?,allow,definition,duncan_prasses_veterinary_laboratory_medicine_clinical_pathology_5e|schalms_veterinary_hematology_6e_pdf_pages_0151_0200_docling,2,14015,llama3.2:3b,"La hemoglobina es una proteína transportadora de oxígeno presente en los glóbulos rojos caninos. Cumple la función de llevar oxígeno desde los pulmones hasta las células del cuerpo, permitiendo su funcionamiento adecuado.",
CA-020,general,definicion,¿Qué representa el VCM (MCV) en un hemograma?,allow,faq_simple,schalms_veterinary_hematology_6e_pdf_pages_0801_0850_docling,1,13313,llama3.2:3b,El VCM (MCV) en un hemograma representa el volumen medio de los glóbulos rojos (RBC). Es una medida utilizada para evaluar la anemia y otros trastornos hematológicos.,
CA-021,general,definicion,¿Qué es la relación neutrófilos/linfocitos (NLR)?,allow,definition,bsava_manual_canine_feline_clinical_pathology_3e_pdf_pages_0401_0450_d|cowell_tylers_diagnostic_cytology_hematology_dog_cat_5e_pdf_pages_0101,2,17890,llama3.2:3b,"La relación neutrófilos/linfocitos (NLR) se refiere a la proporción de neutrófilos y linfocitos en el sangrado. Un NLR alto puede indicar una respuesta inmunitaria aguda, mientras que un NLR bajo puede estar asociado con una respuesta inmunitaria débil o con enfermedades crónicas.",
CA-022,general,explicacion_valor,¿Qué puede significar un valor bajo de plaquetas?,allow,value_explanation,schalms_veterinary_hematology_6e_pdf_pages_0601_0650_docling|schalms_veterinary_hematology_6e_pdf_pages_0651_0700_docling,2,45251,llama3.2:3b,"Un valor bajo de plaquetas (PLT) puede indicar una condición llamada trombocitopenia, caracterizada por una reducción en el número de plaquetas en la sangre. Esta condición puede ser causada por diversas razones, incluyendo infecciones, medicamentos, enfermedades hematológicas o problemas de producción de plaquetas en el hígado.",
CA-023,general,explicacion_valor,¿Qué puede indicar un hematocrito elevado?,allow,faq_simple,cowell_tylers_diagnostic_cytology_hematology_dog_cat_5e_pdf_pages_0451,1,38459,llama3.2:3b,"Un hematocrito elevado puede indicar anemia hipoxica, anemia folicada o anemia hierroide, entre otras condiciones. Es importante considerar el contexto general del perro y realizar pruebas adicionales para determinar la causa subyacente.",
CA-024,general,explicacion_valor,¿Qué sugiere una linfopenia aislada?,insufficient_evidence,faq_simple,,0,0,llama3.2:3b,No encuentro respaldo suficiente en las fuentes disponibles para atribuir esa afirmación concreta. Puedo ofrecer una explicación general del concepto hematológico sin inventar una referencia.,
CA-025,general,definicion,¿Cuál es la diferencia entre anemia regenerativa y no regenerativa?,allow,faq_simple,duncan_prasses_veterinary_laboratory_medicine_clinical_pathology_5e,1,18938,llama3.2:3b,"La anemia regenerativa es un tipo de anemia caracterizada por una producción excesiva de glóbulos rojos reticulocíticos (RBC) en respuesta a la pérdida o destrucción de RBC, lo que ayuda a compensar la deficiencia de oxígeno. Por otro lado, la anemia no regenerativa es una condición caracterizada por una producción insuficiente de glóbulos rojos reticulocíticos en respuesta a la pérdida o destrucción de RBC, lo",
CA-026,general,definicion,¿Qué es la leucocitosis?,allow,definition,bsava_manual_canine_feline_clinical_pathology_3e_pdf_pages_0051_0100_d|schalms_veterinary_hematology_6e_pdf_pages_0451_0500_docling,2,15471,llama3.2:3b,"La leucocitosis es un aumento en el número de glóbulos blancos (leucocitos) en la sangre de un perro. Se trata de una respuesta del sistema inmunológico al estrés, la infección o la inflamación.",
CA-027,general,definicion,¿Qué es la neutrofilia?,insufficient_evidence,definition,,0,0,llama3.2:3b,No encuentro respaldo suficiente en las fuentes disponibles para atribuir esa afirmación concreta. Puedo ofrecer una explicación general del concepto hematológico sin inventar una referencia.,
CA-028,PATRON_HEMOLISIS_MCHC,explicacion_valor,¿Qué significa que el hematocrito esté bajo en este hemograma?,runtime_unavailable,,,0,0,llama3.2:3b,,LLM runtime request timed out
CA-029,general,explicacion_valor,¿Cómo están las plaquetas en el análisis que cargué?,allow,hemogram_interpretation,duncan_prasses_veterinary_laboratory_medicine_clinical_pathology_5e|cowell_tylers_diagnostic_cytology_hematology_dog_cat_5e_pdf_pages_0301|bsava_manual_canine_feline_clinical_pathology_3e,3,20839,llama3.2:3b,"Las plaquetas están dentro del rango de referencia en el análisis cargado. Su valor es de 481 x10³/µL, lo cual se encuentra entre los valores mínimos y máximos permitidos (175-500 x10³/µL). Por lo tanto, su estado es normal.",
CA-030,PATRON_INFLAMATORIO,explicacion_valor,¿Qué hallazgos generales muestran los leucocitos en este análisis?,allow,hemogram_interpretation,duncan_prasses_veterinary_laboratory_medicine_clinical_pathology_5e|schalms_veterinary_hematology_6e_pdf_pages_0201_0250_docling,2,17539,llama3.2:3b,Los leucocitos están dentro del rango de referencia normal (2.9-11 x10³/µL) y su porcentaje es normal (65.76 %).,
