id;capitulo;seccion;tipo;severidad;hallazgo;accion;evidencia;estado
A-III-01;Cap III;3.7 Metodologia LLM/RAG;incompleto;P0;Describe las baterias de julio pero no el diseno experimental de la campana de agosto;Anadir 3.11 con pre-registro camino A/B canario ablacion intercalada y replica estricta;06_analisis/;pendiente
A-III-02;Cap III;3.7.1;incompleto;P1;Las baterias A-E no incluyen la bateria de 45 turnos con puerta de contenido;Documentar el criterio de contenido real como instrumento oficial;validacion_llm/resultados/rondas45_2026-08-10/;pendiente
A-III-03;Cap III;3.5.1 Freeze de artefactos;incompleto;P1;El freeze cubre el modelo ML pero no el runtime conversacional;Extender la trazabilidad al digest del modelo LLM y al manifiesto de release;deploy/releases/gpu-runtime-*.json;pendiente
A-III-04;Cap III;3.10 Artefactos metodologicos;incompleto;P1;No lista los artefactos de la campana de recaracterizacion;Anadir PROCEDENCIA.json TRAZABILIDAD.csv y MANIFIESTO.json;06_analisis/;pendiente
A-IV-01;Cap IV;4.2.5 Diseno de despliegue;incompleto;P0;No describe la GPU como parte del camino de produccion ni el arranque fail-closed;Reescribir con contrato de arranque validacion de host y apagado ante fallo;deploy/gpu/;pendiente
A-IV-02;Cap IV;4.2.5;error;P2;El texto dice La Figura 4.5 muestra la topologia y la figura contigua esta rotulada Figura 4.6;Corregir la referencia cruzada;tesis .md linea 1488;pendiente
A-IV-03;Cap IV;4.1.4 Requerimientos no funcionales;incompleto;P1;RNF de disponibilidad no contempla la reclamacion de la instancia spot;Anadir RNF de tolerancia a preemption y watchdog;RESUMEN_PARA_EQUIPO_2026-08-11.md;pendiente
A-IV-04;Cap IV;4.2.4 Diseno del modulo LLM/RAG;incompleto;P0;No incluye la puerta de contenido el completado determinista ni el resolutor de elipsis;Anadir los tres componentes al diseno;backend/app/modules/llm_chat/;pendiente
A-IV-05;Cap IV;4.2.6 Contratos API;desactualizado;P2;La tabla no declara el numero de rutas ni los contratos versionados de release;Anadir nota de 40 rutas y contratos hemovet.release/v1;backend/app/modules/;pendiente
A-V-01;Cap V;5.7 Tabla 5.9;invalido;P0;Reporta 50/50 adversariales rechazados y 20/20 legitimos aceptados; cifra invalida que contradice 6.4.2;Sustituir por 31/40 y 15/20 o remitir a 6.4;outputs/llm_guardrails_eval.json vs validacion_llm/resultados/eval_ambito_seguridad.csv;pendiente
A-V-02;Cap V;5.7 Tabla 5.9 y 6.13;desactualizado;P0;Reporta 25 pruebas backend; hoy hay 35 archivos de test;Re-correr pytest y publicar la cifra medida;backend/tests/;pendiente
A-V-03;Cap V;5.5 Modulo LLM/RAG;incompleto;P0;No documenta la puerta de contenido el completado determinista desde la BD la reparacion compacta ni la telemetria de entailment;Anadir 5.10 con las rondas 4-6;RESUMEN_PARA_EQUIPO_2026-08-11.md;pendiente
A-V-04;Cap V;5.7 Despliegue;incompleto;P0;No documenta la cadena de release el rollback validado ni el fail-closed anclado al hardware;Anadir 5.9;deploy/gpu/ deploy/releases/;pendiente
A-V-05;Cap V;5.2;redaccion;P2;Dice Se incluyo PATRON_ANEMIA_REGENERATIVA porque solo habia seis casos positivos; la causalidad esta invertida;Reescribir como a pesar de que solo habia seis casos positivos;tesis .md linea 1566;pendiente
A-V-06;Cap V;5.5;incompleto;P1;No cuantifica el corpus RAG;Anadir 1252 documentos Markdown y el fingerprint de la coleccion;knowledge_base/ deploy/releases/rag-summary-*.json;pendiente
A-V-07;Cap V;5.4 Frontend;incompleto;P2;No aclara que frontend_4 es la unica implementacion activa;Anadir nota de consolidacion del frontend;git ls-files frontend_4;pendiente
A-V-08;Cap V;General;falta;P0;El manual EICT exige manual de usuario en el Capitulo V y no existe;Producir el manual de usuario como anexo o guia en linea;manual EICT p.12;pendiente
A-VI-01;Cap VI;6.6;falta;P0;La seccion de vigilancia poblacional no existe; la numeracion salta de 6.5 a 6.7;Insertar 6.6 redactada y renumerar;08_capitulo_vi_resultados/6.6_vigilancia_poblacional/;pendiente
A-VI-02;Cap VI;6.4.2;desactualizado;P0;Latencia media 24.1 s atribuida al pipeline sobre CPU;Actualizar a las cifras de A100 y fechar la medicion anterior;06_analisis/tablas/tab_E2_diferencias_pareadas.csv;pendiente
A-VI-03;Cap VI;6.4.3;desactualizado;P0;Atribuye dos timeouts a un fallo transitorio de la infraestructura de la CPU;Actualizar: cero muertes en la bateria de 45 turnos sobre A100;06_analisis/tablas/tab_D1_desenlaces_modo.csv;pendiente
A-VI-04;Cap VI;6.4.5;incompleto;P1;Reporta 0/30 alucinadas sin intervalo de confianza;Anadir cota superior de Wilson 11.4 por ciento;calculo Wilson sobre validacion_llm/resultados/evaluador_*.csv;pendiente
A-VI-05;Cap VI;6.4;falta;P0;No existe la seccion de recaracterizacion sobre A100;Insertar 6.9 completa;08_capitulo_vi_resultados/6.9_recaracterizacion_a100/;pendiente
A-VI-06;Cap VI;6.5;desactualizado;P0;Tabla 6.13 reporta 25 pruebas backend;Re-medir con pytest;backend/tests/;pendiente
A-VI-07;Cap VI;6.8 Sintesis;desactualizado;P0;Afirma que la parte conversacional presentaba limitaciones de tiempo de respuesta al funcionar sin GPU;Reescribir la sintesis con el resultado de la migracion;06_analisis/;pendiente
A-VI-08;Cap VI;6.4.2;altitud;P2;Incluye una frase de gestion (hallazgo que se entrega al equipo de desarrollo) que pertenece al Cap VII;Mover la frase a 7.5;manual EICT p.13;pendiente
A-VII-01;Cap VII;7.6;incorrecto;P0;Afirma que el modelo de lenguaje se ejecuta sin aceleracion GPU;Reescribir con la topologia y las cifras actuales;06_analisis/fase2_canario_y_ic.json;pendiente
A-VII-02;Cap VII;7.3 Limitaciones;incompleto;P0;Faltan cinco limitaciones reales de la campana;Anadir cota de alucinacion no verificabilidad de la L4 comparabilidad doble spot sin watchdog y 4B instalado;06_analisis/PIES_DE_FIGURA.md;pendiente
A-VII-03;Cap VII;7.4 Resultados inesperados;incompleto;P1;No recoge los tres hallazgos inesperados de agosto;Anadir refutacion de H-2 discrepancia de ids de fallo y fail-closed apagando la maquina;06_analisis/tablas/tab_F1_tablero_hipotesis.csv;pendiente
A-VII-04;Cap VII;7.2 Tabla 7.1;desactualizado;P1;La evidencia de OE5 cita cifras de julio;Actualizar con las cifras de agosto;-;pendiente
A-VII-05;Cap VII;7.5 Recomendaciones;desactualizado;P1;Recomienda aumentar la velocidad del chat como pendiente; ya se hizo;Reformular y anadir los seis pendientes reales;RESUMEN_PARA_EQUIPO_2026-08-11.md;pendiente
A-VII-06;Cap VII;7.7 Sostenibilidad;incompleto;P1;No contempla el coste recurrente de la GPU ni la politica de encendido;Anadir sostenibilidad economica del runtime;06_analisis/tablas/tab_A1_ventanas_gpu.csv;pendiente
A-REF-01;Referencias;General;pendiente;P1;Verificar que toda cita resuelve y que las fuentes nuevas entran numeradas;Auditar IEEE tras insertar 1.1.3.7 y 6.9;-;pendiente
A-REF-02;Anexos;Anexo E;falta;P0;No existe el anexo de la campana de recaracterizacion;Crear Anexo E con pre-registro trazabilidad y manifiesto;10_referencias_anexos/anexo_E_recaracterizacion/;pendiente
A-FMT-01;Formato;General;pendiente;P1;Checklist de formato del manual sin aplicar;Ejecutar CHECKLIST_FORMATO.md sobre el docx;00_guia_general/CHECKLIST_FORMATO.md;pendiente
A-FMT-02;Formato;Figuras;pendiente;P1;Las figuras nuevas deben insertarse en vectorial y verificarse en escala de grises;Usar los PDF/SVG y las versiones grises ya generadas;06_analisis/figuras/ 06_analisis/grises/;pendiente
A-IMG-01;Cap V;5.4 Desarrollo del frontend;falta;P0;La seccion que describe la aplicacion web no tiene ninguna figura; el documento no muestra el producto en ningun momento;Producir seis capturas obligatorias del sistema funcionando;00_guia_general/CATALOGO_DE_FIGURAS_E_IMAGENES.md;pendiente
A-IMG-02;Cap V;5.5 Modulo LLM/RAG;falta;P1;No hay captura del asistente ni de su rechazo ante consulta fuera de alcance;Producir dos capturas; la del rechazo demuestra visualmente el guardrail que 6.4 mide;idem;pendiente
A-IMG-03;Cap IV;Figura 4.6;incorrecto;P0;El diagrama de despliegue es en realidad una captura de la consola de Google Cloud;Rehacer como diagrama de despliegue con dos nodos validacion de arranque y rama de apagado;manual EICT p.11;pendiente
A-IMG-04;Cap IV;4.2 Diseno;falta;P1;El manual lista mockups o diseno de ambiente de usuario entre los artefactos de ICC y no existe ninguno;Producir un mapa de navegacion de las ocho pantallas;manual EICT p.11;pendiente
A-IMG-05;Cap IV;Figura 4.5;desactualizado;P1;El diagrama de secuencia del modulo LLM/RAG no incluye la puerta de contenido el completado determinista ni la resolucion de elipsis;Actualizar el diagrama;06_capitulo_iv_analisis_diseno/README.md;pendiente
A-FMT-03;Formato;General;inconsistencia;P1;El documento mezcla coma y punto decimal y separadores de millares en ingles;Unificar a coma decimal y espacio como separador de millares en toda la tesis;00_guia_general/COMO_PRESENTAR_LA_EVIDENCIA.md;pendiente
A-FMT-04;Formato;Evidencia;criterio;P0;La evidencia debe presentarse como tablas numeradas figuras y capturas; no como volcados de ficheros de datos;Convertido: seis artefactos JSON pasan a tablas numeradas listas para pegar;00_guia_general/COMO_PRESENTAR_LA_EVIDENCIA.md;aplicado
